operator_surrogate_id,hire_date_cohort,warehouse_id,total_tasks,shifts_worked,tasks_per_shift,accuracy_rate_pct,error_count,task_types_performed
49,2022-Q1,DHL-WH-NJ01,48,34,1.4,100.0,0.0,6
36,2022-Q1,DHL-WH-IL02,66,43,1.5,100.0,0.0,6
36,2022-Q1,DHL-WH-TX03,52,43,1.2,100.0,0.0,6
60,2022-Q1,DHL-WH-IL02,37,29,1.3,100.0,0.0,6
22,2022-Q1,DHL-WH-IL02,37,31,1.2,100.0,0.0,6
12,2022-Q1,DHL-WH-TX03,58,40,1.5,100.0,0.0,5
32,2022-Q1,DHL-WH-TX03,57,42,1.4,100.0,0.0,6
8,2022-Q1,DHL-WH-NJ01,47,33,1.4,100.0,0.0,5
57,2022-Q1,DHL-WH-IL02,60,46,1.3,100.0,0.0,5
12,2022-Q1,DHL-WH-IL02,48,38,1.3,100.0,0.0,6
23,2022-Q1,DHL-WH-IL02,55,42,1.3,100.0,0.0,6
39,2022-Q1,DHL-WH-TX03,48,37,1.3,100.0,0.0,5
54,2022-Q1,DHL-WH-TX03,48,35,1.4,100.0,0.0,5
28,2022-Q1,DHL-WH-IL02,60,44,1.4,100.0,0.0,6
15,2022-Q1,DHL-WH-NJ01,47,35,1.3,100.0,0.0,6
31,2022-Q1,DHL-WH-IL02,65,48,1.4,100.0,0.0,6
57,2022-Q1,DHL-WH-NJ01,54,37,1.5,100.0,0.0,6
45,2022-Q1,DHL-WH-IL02,53,34,1.6,100.0,0.0,6
24,2022-Q1,DHL-WH-NJ01,46,40,1.2,100.0,0.0,5
7,2022-Q1,DHL-WH-NJ01,54,34,1.6,100.0,0.0,5
47,2022-Q1,DHL-WH-NJ01,47,36,1.3,100.0,0.0,6
44,2022-Q1,DHL-WH-NJ01,46,35,1.3,100.0,0.0,6
38,2022-Q1,DHL-WH-NJ01,54,39,1.4,100.0,0.0,6
31,2022-Q1,DHL-WH-TX03,61,45,1.4,100.0,0.0,6
55,2022-Q1,DHL-WH-NJ01,59,42,1.4,100.0,0.0,6
28,2022-Q1,DHL-WH-TX03,71,45,1.6,100.0,0.0,6
49,2022-Q1,DHL-WH-IL02,56,43,1.3,100.0,0.0,6
42,2022-Q1,DHL-WH-TX03,40,32,1.3,100.0,0.0,6
54,2022-Q1,DHL-WH-IL02,41,32,1.3,100.0,0.0,5
20,2022-Q1,DHL-WH-NJ01,49,32,1.5,100.0,0.0,6
23,2022-Q1,DHL-WH-NJ01,49,36,1.4,100.0,0.0,6
1,2022-Q1,DHL-WH-NJ01,51,35,1.5,100.0,0.0,6
42,2022-Q1,DHL-WH-IL02,50,37,1.4,100.0,0.0,5
8,2022-Q1,DHL-WH-IL02,63,43,1.5,100.0,0.0,5
19,2022-Q1,DHL-WH-IL02,51,40,1.3,100.0,0.0,5
8,2022-Q1,DHL-WH-TX03,54,39,1.4,100.0,0.0,6
3,2022-Q1,DHL-WH-TX03,48,39,1.2,100.0,0.0,5
29,2022-Q1,DHL-WH-NJ01,57,43,1.3,100.0,0.0,6
39,2022-Q1,DHL-WH-NJ01,43,35,1.2,100.0,0.0,6
30,2022-Q1,DHL-WH-NJ01,51,38,1.3,100.0,0.0,6
46,2022-Q1,DHL-WH-NJ01,49,38,1.3,100.0,0.0,6
41,2022-Q1,DHL-WH-NJ01,66,43,1.5,100.0,0.0,6
45,2022-Q1,DHL-WH-TX03,58,41,1.4,100.0,0.0,6
3,2022-Q1,DHL-WH-IL02,51,34,1.5,100.0,0.0,6
13,2022-Q1,DHL-WH-IL02,45,33,1.4,100.0,0.0,5
5,2022-Q1,DHL-WH-IL02,54,41,1.3,100.0,0.0,6
19,2022-Q1,DHL-WH-TX03,50,35,1.4,100.0,0.0,6
37,2022-Q1,DHL-WH-NJ01,47,38,1.2,100.0,0.0,6
51,2022-Q1,DHL-WH-NJ01,57,44,1.3,100.0,0.0,6
25,2022-Q1,DHL-WH-NJ01,51,39,1.3,100.0,0.0,5
11,2022-Q1,DHL-WH-IL02,62,47,1.3,100.0,0.0,6
26,2022-Q1,DHL-WH-IL02,41,34,1.2,100.0,0.0,6
18,2022-Q1,DHL-WH-IL02,51,40,1.3,100.0,0.0,6
56,2022-Q1,DHL-WH-IL02,55,37,1.5,100.0,0.0,6
59,2022-Q1,DHL-WH-TX03,57,39,1.5,100.0,0.0,6
43,2022-Q1,DHL-WH-NJ01,43,33,1.3,100.0,0.0,6
56,2022-Q1,DHL-WH-TX03,49,34,1.4,100.0,0.0,6
21,2022-Q1,DHL-WH-IL02,49,40,1.2,100.0,0.0,6
17,2022-Q1,DHL-WH-TX03,53,44,1.2,100.0,0.0,5
48,2022-Q1,DHL-WH-IL02,52,34,1.5,100.0,0.0,6
40,2022-Q1,DHL-WH-IL02,48,37,1.3,100.0,0.0,6
26,2022-Q1,DHL-WH-TX03,53,37,1.4,100.0,0.0,6
17,2022-Q1,DHL-WH-IL02,50,35,1.4,100.0,0.0,6
11,2022-Q1,DHL-WH-TX03,62,41,1.5,100.0,0.0,6
6,2022-Q1,DHL-WH-NJ01,52,39,1.3,100.0,0.0,6
10,2022-Q1,DHL-WH-IL02,66,42,1.6,100.0,0.0,6
58,2022-Q1,DHL-WH-TX03,66,44,1.5,100.0,0.0,6
21,2022-Q1,DHL-WH-TX03,59,46,1.3,100.0,0.0,6
10,2022-Q1,DHL-WH-TX03,51,35,1.5,100.0,0.0,6
33,2022-Q1,DHL-WH-IL02,44,36,1.2,100.0,0.0,5
14,2022-Q1,DHL-WH-IL02,58,42,1.4,100.0,0.0,6
27,2022-Q1,DHL-WH-NJ01,52,36,1.4,100.0,0.0,6
18,2022-Q1,DHL-WH-TX03,53,38,1.4,100.0,0.0,5
34,2022-Q1,DHL-WH-IL02,55,39,1.4,100.0,0.0,6
48,2022-Q1,DHL-WH-TX03,44,35,1.3,100.0,0.0,6
58,2022-Q1,DHL-WH-IL02,48,35,1.4,100.0,0.0,6
33,2022-Q1,DHL-WH-TX03,65,44,1.5,100.0,0.0,6
34,2022-Q1,DHL-WH-TX03,45,33,1.4,100.0,0.0,6
2,2022-Q1,DHL-WH-NJ01,42,34,1.2,100.0,0.0,5
14,2022-Q1,DHL-WH-TX03,37,28,1.3,100.0,0.0,5
53,2022-Q1,DHL-WH-TX03,68,45,1.5,98.53,1.0,6
30,2022-Q1,DHL-WH-TX03,66,49,1.3,98.48,1.0,6
15,2022-Q1,DHL-WH-TX03,65,41,1.6,98.46,1.0,6
1,2022-Q1,DHL-WH-IL02,65,42,1.5,98.46,1.0,6
36,2022-Q1,DHL-WH-NJ01,62,44,1.4,98.39,1.0,6
40,2022-Q1,DHL-WH-TX03,62,46,1.3,98.39,1.0,6
5,2022-Q1,DHL-WH-TX03,57,34,1.7,98.25,1.0,6
4,2022-Q1,DHL-WH-TX03,56,39,1.4,98.21,1.0,6
58,2022-Q1,DHL-WH-NJ01,55,42,1.3,98.18,1.0,6
10,2022-Q1,DHL-WH-NJ01,55,40,1.4,98.18,1.0,5
59,2022-Q1,DHL-WH-IL02,55,41,1.3,98.18,1.0,6
12,2022-Q1,DHL-WH-NJ01,54,40,1.4,98.15,1.0,6
25,2022-Q1,DHL-WH-TX03,53,40,1.3,98.11,1.0,5
1,2022-Q1,DHL-WH-TX03,53,37,1.4,98.11,1.0,6
22,2022-Q1,DHL-WH-NJ01,53,38,1.4,98.11,1.0,5
21,2022-Q1,DHL-WH-NJ01,51,42,1.2,98.04,1.0,6
53,2022-Q1,DHL-WH-NJ01,51,40,1.3,98.04,1.0,6
6,2022-Q1,DHL-WH-TX03,50,35,1.4,98.0,1.0,6
14,2022-Q1,DHL-WH-NJ01,50,37,1.4,98.0,1.0,6
51,2022-Q1,DHL-WH-TX03,50,37,1.4,98.0,1.0,5
42,2022-Q1,DHL-WH-NJ01,49,38,1.3,97.96,1.0,6
4,2022-Q1,DHL-WH-NJ01,49,35,1.4,97.96,1.0,6
9,2022-Q1,DHL-WH-NJ01,49,36,1.4,97.96,1.0,5
13,2022-Q1,DHL-WH-TX03,49,39,1.3,97.96,1.0,6
16,2022-Q1,DHL-WH-IL02,49,36,1.4,97.96,1.0,6
38,2022-Q1,DHL-WH-TX03,48,36,1.3,97.92,1.0,6
60,2022-Q1,DHL-WH-NJ01,48,33,1.5,97.92,1.0,5
4,2022-Q1,DHL-WH-IL02,47,33,1.4,97.87,1.0,6
16,2022-Q1,DHL-WH-TX03,46,28,1.6,97.83,1.0,6
46,2022-Q1,DHL-WH-TX03,44,35,1.3,97.73,1.0,6
47,2022-Q1,DHL-WH-TX03,44,33,1.3,97.73,1.0,6
52,2022-Q1,DHL-WH-NJ01,44,34,1.3,97.73,1.0,5
35,2022-Q1,DHL-WH-TX03,43,34,1.3,97.67,1.0,6
49,2022-Q1,DHL-WH-TX03,40,30,1.3,97.5,1.0,6
13,2022-Q1,DHL-WH-NJ01,65,42,1.5,96.92,2.0,6
32,2022-Q1,DHL-WH-NJ01,64,47,1.4,96.88,2.0,6
54,2022-Q1,DHL-WH-NJ01,58,41,1.4,96.55,2.0,6
52,2022-Q1,DHL-WH-TX03,57,45,1.3,96.49,2.0,5
45,2022-Q1,DHL-WH-NJ01,56,41,1.4,96.43,2.0,6
44,2022-Q1,DHL-WH-IL02,56,44,1.3,96.43,2.0,5
35,2022-Q1,DHL-WH-IL02,56,42,1.3,96.43,2.0,6
28,2022-Q1,DHL-WH-NJ01,52,41,1.3,96.15,2.0,5
47,2022-Q1,DHL-WH-IL02,48,38,1.3,95.83,2.0,5
50,2022-Q1,DHL-WH-NJ01,44,35,1.3,95.45,2.0,5
