customer_id,customer_type,region,annual_rev_band,sla_hours,recency_days,frequency_count,monetary_value,recency_score,frequency_score,monetary_score,last_order_date,lifetime_revenue,lifetime_orders,scoring_date,recommended_action
CUST-00087,Distributor,Southwest,<50K,72,11,172,6988580.18,1,3,5,2023-12-20,6988580.18,172,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00192,E-Commerce,Southeast,<50K,24,5,172,6936250.13,2,3,4,2023-12-26,6936250.13,172,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00176,Retailer,West,<50K,48,5,171,6824345.22,2,3,4,2023-12-26,6824345.22,171,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00151,Retailer,International,>1M,72,7,178,6767712.87,1,4,4,2023-12-24,6767712.87,178,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00210,E-Commerce,Northeast,<50K,72,9,174,6705094.29,1,3,4,2023-12-22,6705094.29,174,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00015,Distributor,International,200K-1M,48,8,190,6662659.72,1,5,4,2023-12-23,6662659.72,190,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00145,Retailer,West,50K-200K,24,8,183,6648372.98,1,4,4,2023-12-23,6648372.98,183,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00025,E-Commerce,Midwest,50K-200K,48,22,170,6641114.82,1,3,4,2023-12-09,6641114.82,170,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00408,Retailer,West,50K-200K,48,6,189,6361868.06,2,5,4,2023-12-25,6361868.06,189,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00412,Retailer,International,200K-1M,48,8,193,6321533.35,1,5,4,2023-12-23,6321533.35,193,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00188,Retailer,Midwest,<50K,24,5,195,6271419.31,2,5,4,2023-12-26,6271419.31,195,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00026,E-Commerce,Northeast,<50K,72,6,177,6267169.97,2,3,4,2023-12-25,6267169.97,177,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00029,Retailer,Northeast,200K-1M,24,9,190,6161765.44,1,5,4,2023-12-22,6161765.44,190,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00442,E-Commerce,Southwest,200K-1M,96,16,172,6036314.87,1,3,3,2023-12-15,6036314.87,172,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00150,E-Commerce,Southwest,<50K,48,4,181,5996139.58,2,4,3,2023-12-27,5996139.58,181,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00404,Retailer,International,50K-200K,24,5,195,5938063.87,2,5,3,2023-12-26,5938063.87,195,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00164,E-Commerce,Midwest,50K-200K,24,5,173,5932182.74,2,3,3,2023-12-26,5932182.74,173,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00258,E-Commerce,West,50K-200K,24,4,187,5851774.86,2,5,3,2023-12-27,5851774.86,187,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00378,Government,Northeast,200K-1M,72,8,175,5842108.62,1,3,3,2023-12-23,5842108.62,175,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00329,Government,International,50K-200K,72,4,192,5835743.21,2,5,3,2023-12-27,5835743.21,192,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00445,Retailer,Midwest,>1M,24,10,180,5813802.05,1,4,3,2023-12-21,5813802.05,180,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00086,Healthcare,Northeast,50K-200K,48,6,170,5779028.83,2,3,3,2023-12-25,5779028.83,170,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00455,Manufacturer,Southeast,200K-1M,72,4,183,5774892.42,2,4,3,2023-12-27,5774892.42,183,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00388,E-Commerce,Southeast,<50K,96,12,175,5759375.36,1,3,3,2023-12-19,5759375.36,175,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00148,E-Commerce,Southeast,200K-1M,72,7,173,5735029.84,1,3,3,2023-12-24,5735029.84,173,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00466,E-Commerce,Midwest,50K-200K,48,4,183,5721454.71,2,4,3,2023-12-27,5721454.71,183,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00201,Distributor,Southeast,50K-200K,48,4,182,5697653.14,2,4,3,2023-12-27,5697653.14,182,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00214,Healthcare,Midwest,50K-200K,24,13,209,5689393.73,1,5,3,2023-12-18,5689393.73,209,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00220,Manufacturer,Southwest,200K-1M,96,4,174,5683307.82,2,3,3,2023-12-27,5683307.82,174,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00383,Government,Southwest,50K-200K,24,13,193,5650963.74,1,5,3,2023-12-18,5650963.74,193,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00422,Retailer,Northeast,50K-200K,48,8,174,5638997.09,1,3,3,2023-12-23,5638997.09,174,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00336,Manufacturer,West,<50K,24,4,189,5586530.17,2,5,3,2023-12-27,5586530.17,189,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00308,Distributor,Northeast,<50K,48,5,187,5583965.48,2,5,3,2023-12-26,5583965.48,187,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00370,Retailer,West,>1M,48,6,177,5542585.87,2,3,3,2023-12-25,5542585.87,177,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00410,Manufacturer,West,<50K,48,6,182,5511223.24,2,4,3,2023-12-25,5511223.24,182,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00496,E-Commerce,International,50K-200K,24,6,174,5489821.53,2,3,3,2023-12-25,5489821.53,174,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00484,Retailer,Northeast,<50K,72,7,171,5489820.22,1,3,3,2023-12-24,5489820.22,171,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00225,Distributor,Southwest,50K-200K,72,4,181,5484238.82,2,4,3,2023-12-27,5484238.82,181,2023-12-31,Re-engagement campaign — offer discount or account review
