anomaly_type,warehouse_id,detection_date,observed_value,baseline_value,deviation,severity,description,flagged_at
accuracy_drop,DHL-WH-IL02,2022-09-10,95.3489,99.4209,3.5718,HIGH,Pick accuracy 95.35% is 3.6σ below 90-day mean (99.42%),2026-06-13T20:22:22.093283
accuracy_drop,DHL-WH-IL02,2022-09-14,92.1054,99.3596,5.3181,HIGH,Pick accuracy 92.11% is 5.3σ below 90-day mean (99.36%),2026-06-13T20:22:22.093325
accuracy_drop,DHL-WH-IL02,2022-09-15,94.8277,99.3274,3.1347,HIGH,Pick accuracy 94.83% is 3.1σ below 90-day mean (99.33%),2026-06-13T20:22:22.093367
accuracy_drop,DHL-WH-IL02,2022-09-19,95.7449,99.2834,2.3932,HIGH,Pick accuracy 95.74% is 2.4σ below 90-day mean (99.28%),2026-06-13T20:22:22.093410
accuracy_drop,DHL-WH-IL02,2022-09-29,95.5552,99.2561,2.4278,HIGH,Pick accuracy 95.56% is 2.4σ below 90-day mean (99.26%),2026-06-13T20:22:22.093452
accuracy_drop,DHL-WH-IL02,2022-10-07,95.6522,99.2367,2.299,HIGH,Pick accuracy 95.65% is 2.3σ below 90-day mean (99.24%),2026-06-13T20:22:22.093494
accuracy_drop,DHL-WH-IL02,2022-11-04,95.7448,99.2575,2.248,HIGH,Pick accuracy 95.74% is 2.2σ below 90-day mean (99.26%),2026-06-13T20:22:22.093536
accuracy_drop,DHL-WH-IL02,2022-11-10,95.8333,99.1454,2.0574,HIGH,Pick accuracy 95.83% is 2.1σ below 90-day mean (99.15%),2026-06-13T20:22:22.093578
accuracy_drop,DHL-WH-IL02,2022-11-11,95.4547,99.0949,2.2015,HIGH,Pick accuracy 95.45% is 2.2σ below 90-day mean (99.09%),2026-06-13T20:22:22.093620
accuracy_drop,DHL-WH-IL02,2022-11-28,95.4546,99.0158,2.0954,HIGH,Pick accuracy 95.45% is 2.1σ below 90-day mean (99.02%),2026-06-13T20:22:22.093661
accuracy_drop,DHL-WH-IL02,2022-12-18,95.2382,99.2155,2.8694,HIGH,Pick accuracy 95.24% is 2.9σ below 90-day mean (99.22%),2026-06-13T20:22:22.093720
accuracy_drop,DHL-WH-IL02,2022-12-27,94.5946,99.0978,3.0351,HIGH,Pick accuracy 94.59% is 3.0σ below 90-day mean (99.10%),2026-06-13T20:22:22.093765
accuracy_drop,DHL-WH-IL02,2023-01-08,94.9999,99.143,2.8487,HIGH,Pick accuracy 95.00% is 2.8σ below 90-day mean (99.14%),2026-06-13T20:22:22.093807
accuracy_drop,DHL-WH-IL02,2023-01-11,95.4544,99.1507,2.4891,HIGH,Pick accuracy 95.45% is 2.5σ below 90-day mean (99.15%),2026-06-13T20:22:22.093849
accuracy_drop,DHL-WH-IL02,2023-01-20,95.3487,98.9483,2.3172,HIGH,Pick accuracy 95.35% is 2.3σ below 90-day mean (98.95%),2026-06-13T20:22:22.093891
accuracy_drop,DHL-WH-IL02,2023-03-12,95.7446,98.9265,2.125,HIGH,Pick accuracy 95.74% is 2.1σ below 90-day mean (98.93%),2026-06-13T20:22:22.093933
accuracy_drop,DHL-WH-IL02,2023-05-01,97.1429,99.4173,2.1409,HIGH,Pick accuracy 97.14% is 2.1σ below 90-day mean (99.42%),2026-06-13T20:22:22.093975
accuracy_drop,DHL-WH-IL02,2023-05-02,96.3638,99.401,2.7672,HIGH,Pick accuracy 96.36% is 2.8σ below 90-day mean (99.40%),2026-06-13T20:22:22.094017
accuracy_drop,DHL-WH-IL02,2023-07-30,95.8334,99.2312,2.9294,HIGH,Pick accuracy 95.83% is 2.9σ below 90-day mean (99.23%),2026-06-13T20:22:22.094060
accuracy_drop,DHL-WH-IL02,2023-08-08,94.7367,99.292,3.8404,HIGH,Pick accuracy 94.74% is 3.8σ below 90-day mean (99.29%),2026-06-13T20:22:22.094102
accuracy_drop,DHL-WH-IL02,2023-08-24,95.6521,99.2867,2.9365,HIGH,Pick accuracy 95.65% is 2.9σ below 90-day mean (99.29%),2026-06-13T20:22:22.094143
accuracy_drop,DHL-WH-IL02,2023-09-14,95.122,99.3738,3.4101,HIGH,Pick accuracy 95.12% is 3.4σ below 90-day mean (99.37%),2026-06-13T20:22:22.094186
accuracy_drop,DHL-WH-IL02,2023-10-10,94.4444,99.1985,3.4142,HIGH,Pick accuracy 94.44% is 3.4σ below 90-day mean (99.20%),2026-06-13T20:22:22.094228
accuracy_drop,DHL-WH-IL02,2023-11-30,93.4783,99.3997,4.5313,HIGH,Pick accuracy 93.48% is 4.5σ below 90-day mean (99.40%),2026-06-13T20:22:22.094270
accuracy_drop,DHL-WH-NJ01,2022-02-01,97.3685,99.5475,2.4683,HIGH,Pick accuracy 97.37% is 2.5σ below 90-day mean (99.55%),2026-06-13T20:22:22.095625
accuracy_drop,DHL-WH-NJ01,2022-02-06,97.436,99.4165,2.0081,HIGH,Pick accuracy 97.44% is 2.0σ below 90-day mean (99.42%),2026-06-13T20:22:22.095677
accuracy_drop,DHL-WH-NJ01,2022-03-02,96.9698,99.3003,2.187,HIGH,Pick accuracy 96.97% is 2.2σ below 90-day mean (99.30%),2026-06-13T20:22:22.095743
accuracy_drop,DHL-WH-NJ01,2022-04-11,95.2381,99.3716,3.7914,HIGH,Pick accuracy 95.24% is 3.8σ below 90-day mean (99.37%),2026-06-13T20:22:22.095790
accuracy_drop,DHL-WH-NJ01,2022-04-22,95.7447,99.2738,3.0109,HIGH,Pick accuracy 95.74% is 3.0σ below 90-day mean (99.27%),2026-06-13T20:22:22.095853
accuracy_drop,DHL-WH-NJ01,2022-05-08,95.0001,99.169,3.2943,HIGH,Pick accuracy 95.00% is 3.3σ below 90-day mean (99.17%),2026-06-13T20:22:22.095897
accuracy_drop,DHL-WH-NJ01,2022-05-28,95.122,99.1888,3.0905,HIGH,Pick accuracy 95.12% is 3.1σ below 90-day mean (99.19%),2026-06-13T20:22:22.095940
accuracy_drop,DHL-WH-NJ01,2022-07-08,95.8334,98.8903,2.1935,HIGH,Pick accuracy 95.83% is 2.2σ below 90-day mean (98.89%),2026-06-13T20:22:22.096006
accuracy_drop,DHL-WH-NJ01,2022-07-30,94.1179,98.9969,3.4983,HIGH,Pick accuracy 94.12% is 3.5σ below 90-day mean (99.00%),2026-06-13T20:22:22.096050
accuracy_drop,DHL-WH-NJ01,2022-08-14,96.3638,99.0877,2.024,HIGH,Pick accuracy 96.36% is 2.0σ below 90-day mean (99.09%),2026-06-13T20:22:22.096094
accuracy_drop,DHL-WH-NJ01,2022-09-08,96.4285,99.1714,2.1131,HIGH,Pick accuracy 96.43% is 2.1σ below 90-day mean (99.17%),2026-06-13T20:22:22.096136
accuracy_drop,DHL-WH-NJ01,2022-09-21,94.8716,99.2365,3.2964,HIGH,Pick accuracy 94.87% is 3.3σ below 90-day mean (99.24%),2026-06-13T20:22:22.096179
accuracy_drop,DHL-WH-NJ01,2022-09-28,95.349,99.2032,2.7849,HIGH,Pick accuracy 95.35% is 2.8σ below 90-day mean (99.20%),2026-06-13T20:22:22.096221
accuracy_drop,DHL-WH-NJ01,2022-10-18,95.1221,99.1614,2.8447,HIGH,Pick accuracy 95.12% is 2.8σ below 90-day mean (99.16%),2026-06-13T20:22:22.096264
accuracy_drop,DHL-WH-NJ01,2022-11-18,95.6521,99.2531,2.7308,HIGH,Pick accuracy 95.65% is 2.7σ below 90-day mean (99.25%),2026-06-13T20:22:22.096306
accuracy_drop,DHL-WH-NJ01,2022-11-22,96.3636,99.2127,2.1091,HIGH,Pick accuracy 96.36% is 2.1σ below 90-day mean (99.21%),2026-06-13T20:22:22.096348
accuracy_drop,DHL-WH-NJ01,2022-12-10,96.3635,99.2064,2.0969,HIGH,Pick accuracy 96.36% is 2.1σ below 90-day mean (99.21%),2026-06-13T20:22:22.096389
accuracy_drop,DHL-WH-NJ01,2022-12-14,96.2266,99.1859,2.1339,HIGH,Pick accuracy 96.23% is 2.1σ below 90-day mean (99.19%),2026-06-13T20:22:22.096431
accuracy_drop,DHL-WH-NJ01,2022-12-25,95.9183,99.1932,2.4112,HIGH,Pick accuracy 95.92% is 2.4σ below 90-day mean (99.19%),2026-06-13T20:22:22.096491
accuracy_drop,DHL-WH-NJ01,2023-01-02,96.3636,99.2519,2.1897,HIGH,Pick accuracy 96.36% is 2.2σ below 90-day mean (99.25%),2026-06-13T20:22:22.096534
accuracy_drop,DHL-WH-NJ01,2023-01-22,95.6521,99.2761,2.8341,HIGH,Pick accuracy 95.65% is 2.8σ below 90-day mean (99.28%),2026-06-13T20:22:22.096576
accuracy_drop,DHL-WH-NJ01,2023-01-25,95.4544,99.2256,2.8181,HIGH,Pick accuracy 95.45% is 2.8σ below 90-day mean (99.23%),2026-06-13T20:22:22.096618
accuracy_drop,DHL-WH-NJ01,2023-02-08,95.3491,99.2261,2.8028,HIGH,Pick accuracy 95.35% is 2.8σ below 90-day mean (99.23%),2026-06-13T20:22:22.096660
accuracy_drop,DHL-WH-NJ01,2023-02-28,93.7498,99.1897,3.7692,HIGH,Pick accuracy 93.75% is 3.8σ below 90-day mean (99.19%),2026-06-13T20:22:22.096712
accuracy_drop,DHL-WH-NJ01,2023-03-27,95.9999,99.2422,2.3257,HIGH,Pick accuracy 96.00% is 2.3σ below 90-day mean (99.24%),2026-06-13T20:22:22.096755
accuracy_drop,DHL-WH-NJ01,2023-04-16,95.652,99.2517,2.5795,HIGH,Pick accuracy 95.65% is 2.6σ below 90-day mean (99.25%),2026-06-13T20:22:22.096797
accuracy_drop,DHL-WH-NJ01,2023-04-20,94.1175,99.2058,3.4072,HIGH,Pick accuracy 94.12% is 3.4σ below 90-day mean (99.21%),2026-06-13T20:22:22.096839
accuracy_drop,DHL-WH-NJ01,2023-07-11,95.5556,99.3322,3.0906,HIGH,Pick accuracy 95.56% is 3.1σ below 90-day mean (99.33%),2026-06-13T20:22:22.096881
accuracy_drop,DHL-WH-NJ01,2023-08-04,95.2381,99.414,3.7972,HIGH,Pick accuracy 95.24% is 3.8σ below 90-day mean (99.41%),2026-06-13T20:22:22.096923
accuracy_drop,DHL-WH-NJ01,2023-10-03,96.8751,99.3366,2.1102,HIGH,Pick accuracy 96.88% is 2.1σ below 90-day mean (99.34%),2026-06-13T20:22:22.096965
accuracy_drop,DHL-WH-NJ01,2023-10-23,94.2858,99.2613,3.9782,HIGH,Pick accuracy 94.29% is 4.0σ below 90-day mean (99.26%),2026-06-13T20:22:22.097007
accuracy_drop,DHL-WH-NJ01,2023-11-02,95.5556,99.3151,3.0781,HIGH,Pick accuracy 95.56% is 3.1σ below 90-day mean (99.32%),2026-06-13T20:22:22.097049
accuracy_drop,DHL-WH-TX03,2022-01-07,97.5001,99.6429,2.2678,HIGH,Pick accuracy 97.50% is 2.3σ below 90-day mean (99.64%),2026-06-13T20:22:22.098348
accuracy_drop,DHL-WH-TX03,2022-01-23,95.6521,99.0452,2.5831,HIGH,Pick accuracy 95.65% is 2.6σ below 90-day mean (99.05%),2026-06-13T20:22:22.098399
accuracy_drop,DHL-WH-TX03,2022-01-29,95.8335,98.842,2.1281,HIGH,Pick accuracy 95.83% is 2.1σ below 90-day mean (98.84%),2026-06-13T20:22:22.098445
accuracy_drop,DHL-WH-TX03,2022-03-21,96.6102,99.349,2.3627,HIGH,Pick accuracy 96.61% is 2.4σ below 90-day mean (99.35%),2026-06-13T20:22:22.098491
accuracy_drop,DHL-WH-TX03,2022-03-27,96.0002,99.3026,2.7586,HIGH,Pick accuracy 96.00% is 2.8σ below 90-day mean (99.30%),2026-06-13T20:22:22.098534
accuracy_drop,DHL-WH-TX03,2022-04-07,95.1221,99.2406,3.2681,HIGH,Pick accuracy 95.12% is 3.3σ below 90-day mean (99.24%),2026-06-13T20:22:22.098576
accuracy_drop,DHL-WH-TX03,2022-05-27,95.2382,99.2464,3.2871,HIGH,Pick accuracy 95.24% is 3.3σ below 90-day mean (99.25%),2026-06-13T20:22:22.098618
accuracy_drop,DHL-WH-TX03,2022-06-20,95.9183,99.3532,2.8554,HIGH,Pick accuracy 95.92% is 2.9σ below 90-day mean (99.35%),2026-06-13T20:22:22.098660
accuracy_drop,DHL-WH-TX03,2022-07-03,95.122,99.3374,3.3983,HIGH,Pick accuracy 95.12% is 3.4σ below 90-day mean (99.34%),2026-06-13T20:22:22.098714
accuracy_drop,DHL-WH-TX03,2022-07-08,95.9183,99.3694,2.8644,HIGH,Pick accuracy 95.92% is 2.9σ below 90-day mean (99.37%),2026-06-13T20:22:22.098757
accuracy_drop,DHL-WH-TX03,2022-08-13,95.1219,99.2019,3.0548,HIGH,Pick accuracy 95.12% is 3.1σ below 90-day mean (99.20%),2026-06-13T20:22:22.098800
accuracy_drop,DHL-WH-TX03,2022-09-07,95.6521,99.1411,2.5821,HIGH,Pick accuracy 95.65% is 2.6σ below 90-day mean (99.14%),2026-06-13T20:22:22.098842
accuracy_drop,DHL-WH-TX03,2022-09-21,93.7501,99.0512,3.6472,HIGH,Pick accuracy 93.75% is 3.6σ below 90-day mean (99.05%),2026-06-13T20:22:22.098887
accuracy_drop,DHL-WH-TX03,2022-10-21,93.182,99.0799,4.0162,HIGH,Pick accuracy 93.18% is 4.0σ below 90-day mean (99.08%),2026-06-13T20:22:22.098930
accuracy_drop,DHL-WH-TX03,2022-11-12,95.4545,99.1628,2.5804,HIGH,Pick accuracy 95.45% is 2.6σ below 90-day mean (99.16%),2026-06-13T20:22:22.098973
accuracy_drop,DHL-WH-TX03,2022-11-18,94.3396,99.1338,3.1765,HIGH,Pick accuracy 94.34% is 3.2σ below 90-day mean (99.13%),2026-06-13T20:22:22.099015
accuracy_drop,DHL-WH-TX03,2022-11-21,92.8574,99.058,3.7767,HIGH,Pick accuracy 92.86% is 3.8σ below 90-day mean (99.06%),2026-06-13T20:22:22.099058
accuracy_drop,DHL-WH-TX03,2022-12-14,95.8335,99.1387,2.0393,HIGH,Pick accuracy 95.83% is 2.0σ below 90-day mean (99.14%),2026-06-13T20:22:22.099099
accuracy_drop,DHL-WH-TX03,2023-01-02,95.349,99.2104,2.4833,HIGH,Pick accuracy 95.35% is 2.5σ below 90-day mean (99.21%),2026-06-13T20:22:22.099142
accuracy_drop,DHL-WH-TX03,2023-01-08,95.1221,99.1425,2.4739,HIGH,Pick accuracy 95.12% is 2.5σ below 90-day mean (99.14%),2026-06-13T20:22:22.099184
accuracy_drop,DHL-WH-TX03,2023-01-26,95.4545,99.1467,2.3578,HIGH,Pick accuracy 95.45% is 2.4σ below 90-day mean (99.15%),2026-06-13T20:22:22.099234
accuracy_drop,DHL-WH-TX03,2023-02-02,95.6522,99.121,2.1625,HIGH,Pick accuracy 95.65% is 2.2σ below 90-day mean (99.12%),2026-06-13T20:22:22.099276
accuracy_drop,DHL-WH-TX03,2023-03-04,96.4286,99.1861,2.0338,HIGH,Pick accuracy 96.43% is 2.0σ below 90-day mean (99.19%),2026-06-13T20:22:22.099318
accuracy_drop,DHL-WH-TX03,2023-04-17,96.0787,99.3265,2.7719,HIGH,Pick accuracy 96.08% is 2.8σ below 90-day mean (99.33%),2026-06-13T20:22:22.099360
accuracy_drop,DHL-WH-TX03,2023-04-27,96.0786,99.3399,2.8621,HIGH,Pick accuracy 96.08% is 2.9σ below 90-day mean (99.34%),2026-06-13T20:22:22.099401
accuracy_drop,DHL-WH-TX03,2023-05-02,95.122,99.2889,3.4229,HIGH,Pick accuracy 95.12% is 3.4σ below 90-day mean (99.29%),2026-06-13T20:22:22.099443
accuracy_drop,DHL-WH-TX03,2023-05-17,95.1219,99.3049,3.3997,HIGH,Pick accuracy 95.12% is 3.4σ below 90-day mean (99.30%),2026-06-13T20:22:22.099485
accuracy_drop,DHL-WH-TX03,2023-05-24,96.2963,99.2179,2.2859,HIGH,Pick accuracy 96.30% is 2.3σ below 90-day mean (99.22%),2026-06-13T20:22:22.099527
accuracy_drop,DHL-WH-TX03,2023-08-04,96.9697,99.4267,2.2402,HIGH,Pick accuracy 96.97% is 2.2σ below 90-day mean (99.43%),2026-06-13T20:22:22.099568
accuracy_drop,DHL-WH-TX03,2023-08-08,97.0588,99.4182,2.1213,HIGH,Pick accuracy 97.06% is 2.1σ below 90-day mean (99.42%),2026-06-13T20:22:22.099610
accuracy_drop,DHL-WH-TX03,2023-08-27,95.3489,99.5264,4.0818,HIGH,Pick accuracy 95.35% is 4.1σ below 90-day mean (99.53%),2026-06-13T20:22:22.099652
accuracy_drop,DHL-WH-TX03,2023-09-10,93.7502,99.4274,4.6984,HIGH,Pick accuracy 93.75% is 4.7σ below 90-day mean (99.43%),2026-06-13T20:22:22.099703
accuracy_drop,DHL-WH-TX03,2023-09-14,94.4444,99.3534,3.7479,HIGH,Pick accuracy 94.44% is 3.7σ below 90-day mean (99.35%),2026-06-13T20:22:22.099747
accuracy_drop,DHL-WH-TX03,2023-09-21,95.8332,99.2532,2.4793,HIGH,Pick accuracy 95.83% is 2.5σ below 90-day mean (99.25%),2026-06-13T20:22:22.099789
accuracy_drop,DHL-WH-TX03,2023-09-26,93.9394,99.2085,3.5531,HIGH,Pick accuracy 93.94% is 3.6σ below 90-day mean (99.21%),2026-06-13T20:22:22.099831
accuracy_drop,DHL-WH-TX03,2023-10-20,95.7449,99.1556,2.2291,HIGH,Pick accuracy 95.74% is 2.2σ below 90-day mean (99.16%),2026-06-13T20:22:22.099873
accuracy_drop,DHL-WH-TX03,2023-11-11,95.4545,99.1172,2.3323,HIGH,Pick accuracy 95.45% is 2.3σ below 90-day mean (99.12%),2026-06-13T20:22:22.099915
accuracy_drop,DHL-WH-TX03,2023-11-23,95.2381,99.0132,2.321,HIGH,Pick accuracy 95.24% is 2.3σ below 90-day mean (99.01%),2026-06-13T20:22:22.099957
accuracy_drop,DHL-WH-TX03,2023-12-14,96.3638,99.2045,2.0105,HIGH,Pick accuracy 96.36% is 2.0σ below 90-day mean (99.20%),2026-06-13T20:22:22.100001
operator_accuracy_drop,DHL-WH-IL02,2022-05-23,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.137547
operator_accuracy_drop,DHL-WH-IL02,2022-09-19,50.0,100.0,50.0,HIGH,Operator 1 accuracy 50.00% is 50.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.137600
operator_accuracy_drop,DHL-WH-IL02,2023-01-14,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.137645
operator_accuracy_drop,DHL-WH-IL02,2023-08-08,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.137688
operator_accuracy_drop,DHL-WH-IL02,2023-11-30,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.137749
operator_accuracy_drop,DHL-WH-NJ01,2022-09-08,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.138832
operator_accuracy_drop,DHL-WH-NJ01,2022-12-07,66.667,100.0,33.333,HIGH,Operator 1 accuracy 66.67% is 33.3pp below their 30-day average (100.00%),2026-06-13T20:22:22.138884
operator_accuracy_drop,DHL-WH-NJ01,2023-05-12,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.138927
operator_accuracy_drop,DHL-WH-NJ01,2023-07-24,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.138967
operator_accuracy_drop,DHL-WH-TX03,2022-05-20,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.139988
operator_accuracy_drop,DHL-WH-TX03,2023-03-03,50.0,100.0,50.0,HIGH,Operator 1 accuracy 50.00% is 50.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.140033
operator_accuracy_drop,DHL-WH-TX03,2023-07-17,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.140074
operator_accuracy_drop,DHL-WH-TX03,2023-09-10,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.140114
operator_accuracy_drop,DHL-WH-TX03,2023-09-12,50.0,96.6667,46.6667,HIGH,Operator 1 accuracy 50.00% is 46.7pp below their 30-day average (96.67%),2026-06-13T20:22:22.140153
operator_accuracy_drop,DHL-WH-TX03,2023-11-07,0.0,100.0,100.0,HIGH,Operator 1 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.140190
operator_accuracy_drop,DHL-WH-TX03,2023-11-27,50.0,96.6667,46.6667,HIGH,Operator 1 accuracy 50.00% is 46.7pp below their 30-day average (96.67%),2026-06-13T20:22:22.140228
operator_accuracy_drop,DHL-WH-TX03,2023-12-15,0.0,98.3333,98.3333,HIGH,Operator 1 accuracy 0.00% is 98.3pp below their 30-day average (98.33%),2026-06-13T20:22:22.140265
operator_accuracy_drop,DHL-WH-IL02,2022-04-13,75.0,100.0,25.0,HIGH,Operator 2 accuracy 75.00% is 25.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.141263
operator_accuracy_drop,DHL-WH-IL02,2022-11-10,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.141307
operator_accuracy_drop,DHL-WH-IL02,2023-10-13,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.141349
operator_accuracy_drop,DHL-WH-NJ01,2022-02-03,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.142356
operator_accuracy_drop,DHL-WH-NJ01,2022-05-03,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.142399
operator_accuracy_drop,DHL-WH-NJ01,2022-06-16,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.142437
operator_accuracy_drop,DHL-WH-NJ01,2022-07-21,0.0,96.6667,96.6667,HIGH,Operator 2 accuracy 0.00% is 96.7pp below their 30-day average (96.67%),2026-06-13T20:22:22.142475
operator_accuracy_drop,DHL-WH-NJ01,2022-09-27,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.142513
operator_accuracy_drop,DHL-WH-NJ01,2022-10-14,0.0,96.6667,96.6667,HIGH,Operator 2 accuracy 0.00% is 96.7pp below their 30-day average (96.67%),2026-06-13T20:22:22.142551
operator_accuracy_drop,DHL-WH-NJ01,2022-11-18,0.0,96.6667,96.6667,HIGH,Operator 2 accuracy 0.00% is 96.7pp below their 30-day average (96.67%),2026-06-13T20:22:22.142588
operator_accuracy_drop,DHL-WH-NJ01,2022-11-22,0.0,93.3333,93.3333,HIGH,Operator 2 accuracy 0.00% is 93.3pp below their 30-day average (93.33%),2026-06-13T20:22:22.142626
operator_accuracy_drop,DHL-WH-NJ01,2023-03-27,50.0,100.0,50.0,HIGH,Operator 2 accuracy 50.00% is 50.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.142663
operator_accuracy_drop,DHL-WH-TX03,2022-03-16,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.143631
operator_accuracy_drop,DHL-WH-TX03,2023-01-02,0.0,100.0,100.0,HIGH,Operator 2 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.143675
operator_accuracy_drop,DHL-WH-IL02,2022-09-26,50.0,100.0,50.0,HIGH,Operator 3 accuracy 50.00% is 50.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.144622
operator_accuracy_drop,DHL-WH-IL02,2023-08-21,0.0,100.0,100.0,HIGH,Operator 3 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.144667
operator_accuracy_drop,DHL-WH-NJ01,2023-08-04,0.0,100.0,100.0,HIGH,Operator 3 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.145671
operator_accuracy_drop,DHL-WH-TX03,2022-02-09,0.0,100.0,100.0,HIGH,Operator 3 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.146686
operator_accuracy_drop,DHL-WH-TX03,2022-10-16,0.0,100.0,100.0,HIGH,Operator 3 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.146740
operator_accuracy_drop,DHL-WH-TX03,2023-04-17,0.0,100.0,100.0,HIGH,Operator 3 accuracy 0.00% is 100.0pp below their 30-day average (100.00%),2026-06-13T20:22:22.146779
