warehouse_id,operator_id,hire_date_cohort,days_as_high_performer,avg_pick_accuracy_pct,total_tasks,recognition_note
DHL-WH-IL02,37,2022-Q1,18,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,36,2022-Q1,16,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,35,2022-Q1,14,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,34,2022-Q1,17,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,42,2022-Q1,17,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,41,2022-Q1,14,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,33,2022-Q1,13,100.0,23.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,29,2022-Q1,22,100.0,45.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,28,2022-Q1,19,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,40,2022-Q1,12,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,39,2022-Q1,15,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,38,2022-Q1,18,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,27,2022-Q1,11,100.0,17.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,14,2022-Q1,17,100.0,33.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,25,2022-Q1,16,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,15,2022-Q1,19,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,23,2022-Q1,16,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,16,2022-Q1,19,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,21,2022-Q1,19,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,20,2022-Q1,15,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,44,2022-Q1,17,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,19,2022-Q1,17,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,18,2022-Q1,11,100.0,18.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,17,2022-Q1,16,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,11,2022-Q1,18,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,10,2022-Q1,23,100.0,50.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,32,2022-Q1,19,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,9,2022-Q1,18,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,8,2022-Q1,17,100.0,39.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,30,2022-Q1,22,100.0,41.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,22,2022-Q1,11,100.0,20.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,6,2022-Q1,18,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,5,2022-Q1,16,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,3,2022-Q1,21,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,24,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,26,2022-Q1,16,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,31,2022-Q1,21,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,25,2022-Q1,9,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,16,2022-Q1,16,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,28,2022-Q1,14,100.0,25.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,23,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,56,2022-Q1,18,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,55,2022-Q1,20,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,29,2022-Q1,19,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,52,2022-Q1,16,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,31,2022-Q1,22,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,49,2022-Q1,11,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,48,2022-Q1,17,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,21,2022-Q1,22,100.0,33.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,20,2022-Q1,17,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,19,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,18,2022-Q1,14,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,27,2022-Q1,13,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,33,2022-Q1,19,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,46,2022-Q1,20,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,34,2022-Q1,17,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,35,2022-Q1,20,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,42,2022-Q1,17,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,41,2022-Q1,18,100.0,47.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,40,2022-Q1,12,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,39,2022-Q1,15,100.0,23.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,38,2022-Q1,16,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,36,2022-Q1,20,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,37,2022-Q1,18,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,32,2022-Q1,16,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,2,2022-Q1,15,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,59,2022-Q1,11,100.0,18.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,60,2022-Q1,16,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,3,2022-Q1,18,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,30,2022-Q1,14,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,43,2022-Q1,17,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,26,2022-Q1,12,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,44,2022-Q1,15,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,24,2022-Q1,19,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,45,2022-Q1,19,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,11,2022-Q1,12,100.0,18.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,10,2022-Q1,19,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,9,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,8,2022-Q1,14,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,22,2022-Q1,18,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,47,2022-Q1,16,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,50,2022-Q1,14,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,51,2022-Q1,21,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,58,2022-Q1,19,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,6,2022-Q1,17,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,5,2022-Q1,15,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,15,2022-Q1,15,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,14,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,13,2022-Q1,16,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,12,2022-Q1,12,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,53,2022-Q1,20,100.0,33.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,54,2022-Q1,16,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,7,2022-Q1,20,100.0,44.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,57,2022-Q1,15,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,4,2022-Q1,15,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,1,2022-Q1,16,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-NJ01,17,2022-Q1,18,100.0,33.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,1,2022-Q1,14,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,31,2022-Q1,18,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,55,2022-Q1,23,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,12,2022-Q1,19,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,52,2022-Q1,13,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,49,2022-Q1,12,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,48,2022-Q1,12,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,44,2022-Q1,17,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,42,2022-Q1,14,100.0,20.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,41,2022-Q1,16,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,40,2022-Q1,20,100.0,41.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,39,2022-Q1,14,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,38,2022-Q1,19,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,3,2022-Q1,17,100.0,28.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,26,2022-Q1,18,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,24,2022-Q1,14,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,22,2022-Q1,13,100.0,25.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,16,2022-Q1,16,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,15,2022-Q1,19,100.0,45.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,14,2022-Q1,13,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,13,2022-Q1,15,100.0,23.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,6,2022-Q1,13,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,7,2022-Q1,14,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,4,2022-Q1,17,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,2,2022-Q1,20,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,60,2022-Q1,17,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,59,2022-Q1,19,100.0,39.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,58,2022-Q1,19,100.0,47.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,57,2022-Q1,13,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,54,2022-Q1,14,100.0,23.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,53,2022-Q1,20,100.0,46.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,51,2022-Q1,14,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,50,2022-Q1,12,100.0,23.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,47,2022-Q1,11,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,45,2022-Q1,21,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,43,2022-Q1,15,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,37,2022-Q1,14,100.0,22.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,36,2022-Q1,16,100.0,20.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,35,2022-Q1,16,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,34,2022-Q1,13,100.0,20.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,33,2022-Q1,17,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,29,2022-Q1,17,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,28,2022-Q1,19,100.0,49.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,27,2022-Q1,19,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,25,2022-Q1,16,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,46,2022-Q1,13,100.0,17.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,23,2022-Q1,17,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,21,2022-Q1,15,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,20,2022-Q1,13,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,19,2022-Q1,13,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,18,2022-Q1,18,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,17,2022-Q1,21,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,11,2022-Q1,19,100.0,40.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,10,2022-Q1,15,100.0,34.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,9,2022-Q1,19,100.0,42.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,8,2022-Q1,16,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,5,2022-Q1,15,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,32,2022-Q1,14,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,30,2022-Q1,18,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-TX03,56,2022-Q1,14,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
