warehouse_id,operator_id,hire_date_cohort,total_tasks,total_picks,total_errors,pick_accuracy_pct,shifts_worked,rank_in_warehouse
DHL-WH-NJ01,57,2022-Q1,54.0,21.0,0.0,100.0,37,1
DHL-WH-NJ01,15,2022-Q1,47.0,20.0,0.0,100.0,35,1
DHL-WH-NJ01,16,2022-Q1,56.0,23.0,0.0,100.0,36,1
DHL-WH-NJ01,22,2022-Q1,53.0,26.0,1.0,100.0,38,1
DHL-WH-NJ01,24,2022-Q1,46.0,23.0,0.0,100.0,40,1
DHL-WH-NJ01,26,2022-Q1,41.0,19.0,0.0,100.0,32,1
DHL-WH-NJ01,30,2022-Q1,51.0,21.0,0.0,100.0,38,1
DHL-WH-NJ01,54,2022-Q1,58.0,25.0,2.0,100.0,41,1
DHL-WH-NJ01,38,2022-Q1,54.0,25.0,0.0,100.0,39,1
DHL-WH-NJ01,39,2022-Q1,43.0,19.0,0.0,100.0,35,1
DHL-WH-NJ01,47,2022-Q1,47.0,24.0,0.0,100.0,36,1
DHL-WH-NJ01,41,2022-Q1,66.0,31.0,0.0,100.0,43,1
DHL-WH-NJ01,53,2022-Q1,51.0,26.0,1.0,100.0,40,1
DHL-WH-NJ01,46,2022-Q1,49.0,25.0,0.0,100.0,38,1
DHL-WH-NJ01,48,2022-Q1,55.0,23.0,0.0,100.0,40,1
DHL-WH-NJ01,49,2022-Q1,48.0,17.0,0.0,100.0,34,1
DHL-WH-NJ01,52,2022-Q1,44.0,24.0,1.0,100.0,34,1
DHL-WH-NJ01,55,2022-Q1,59.0,32.0,0.0,100.0,42,1
DHL-WH-NJ01,56,2022-Q1,53.0,25.0,0.0,100.0,37,1
DHL-WH-NJ01,1,2022-Q1,51.0,21.0,0.0,100.0,35,1
DHL-WH-NJ01,3,2022-Q1,50.0,25.0,0.0,100.0,36,1
DHL-WH-NJ01,5,2022-Q1,46.0,22.0,0.0,100.0,34,1
DHL-WH-NJ01,6,2022-Q1,52.0,23.0,0.0,100.0,39,1
DHL-WH-NJ01,8,2022-Q1,47.0,20.0,0.0,100.0,33,1
DHL-WH-NJ01,9,2022-Q1,49.0,23.0,1.0,100.0,36,1
DHL-WH-NJ01,10,2022-Q1,55.0,25.0,1.0,100.0,40,1
DHL-WH-NJ01,11,2022-Q1,39.0,17.0,0.0,100.0,36,1
DHL-WH-NJ01,17,2022-Q1,55.0,25.0,0.0,100.0,40,1
DHL-WH-NJ01,18,2022-Q1,47.0,21.0,0.0,100.0,34,1
DHL-WH-NJ01,19,2022-Q1,49.0,21.0,0.0,100.0,37,1
DHL-WH-NJ01,20,2022-Q1,49.0,24.0,0.0,100.0,32,1
DHL-WH-NJ01,21,2022-Q1,51.0,27.0,1.0,100.0,42,1
DHL-WH-NJ01,23,2022-Q1,49.0,20.0,0.0,100.0,36,1
DHL-WH-NJ01,25,2022-Q1,51.0,19.0,0.0,100.0,39,1
DHL-WH-NJ01,27,2022-Q1,52.0,18.0,0.0,100.0,36,1
DHL-WH-NJ01,51,2022-Q1,57.0,27.0,0.0,100.0,44,1
DHL-WH-NJ01,29,2022-Q1,57.0,28.0,0.0,100.0,43,1
DHL-WH-NJ01,31,2022-Q1,61.0,31.0,0.0,100.0,47,1
DHL-WH-NJ01,33,2022-Q1,58.0,24.0,0.0,100.0,41,1
DHL-WH-NJ01,34,2022-Q1,60.0,24.0,0.0,100.0,41,1
DHL-WH-NJ01,35,2022-Q1,46.0,26.0,0.0,100.0,35,1
DHL-WH-NJ01,60,2022-Q1,48.0,22.0,1.0,100.0,33,1
DHL-WH-NJ01,37,2022-Q1,47.0,22.0,0.0,100.0,38,1
DHL-WH-NJ01,43,2022-Q1,43.0,22.0,0.0,100.0,33,1
DHL-WH-NJ01,44,2022-Q1,46.0,18.0,0.0,100.0,35,1
DHL-WH-NJ01,4,2022-Q1,49.0,20.0,1.0,100.0,35,1
DHL-WH-NJ01,45,2022-Q1,56.0,31.0,2.0,96.774,41,52
DHL-WH-NJ01,36,2022-Q1,62.0,30.0,1.0,96.667,44,53
DHL-WH-NJ01,32,2022-Q1,64.0,25.0,2.0,96.0,47,54
DHL-WH-NJ01,14,2022-Q1,50.0,25.0,1.0,96.0,37,54
DHL-WH-NJ01,28,2022-Q1,52.0,21.0,2.0,95.238,41,56
DHL-WH-NJ01,42,2022-Q1,49.0,21.0,1.0,95.238,38,56
DHL-WH-NJ01,50,2022-Q1,44.0,19.0,2.0,94.737,35,58
DHL-WH-NJ01,12,2022-Q1,54.0,16.0,1.0,93.75,40,59
DHL-WH-NJ01,13,2022-Q1,65.0,29.0,2.0,93.103,42,60
DHL-WH-TX03,25,2022-Q1,53.0,24.0,1.0,100.0,40,1
DHL-WH-TX03,27,2022-Q1,52.0,23.0,0.0,100.0,43,1
DHL-WH-TX03,48,2022-Q1,44.0,17.0,0.0,100.0,35,1
DHL-WH-TX03,56,2022-Q1,49.0,22.0,0.0,100.0,34,1
DHL-WH-TX03,8,2022-Q1,54.0,22.0,0.0,100.0,39,1
DHL-WH-TX03,9,2022-Q1,56.0,29.0,0.0,100.0,40,1
DHL-WH-TX03,10,2022-Q1,51.0,25.0,0.0,100.0,35,1
DHL-WH-TX03,11,2022-Q1,62.0,31.0,0.0,100.0,41,1
DHL-WH-TX03,18,2022-Q1,53.0,25.0,0.0,100.0,38,1
DHL-WH-TX03,19,2022-Q1,50.0,20.0,0.0,100.0,35,1
DHL-WH-TX03,20,2022-Q1,52.0,18.0,0.0,100.0,37,1
DHL-WH-TX03,21,2022-Q1,59.0,23.0,0.0,100.0,46,1
DHL-WH-TX03,23,2022-Q1,67.0,26.0,0.0,100.0,42,1
DHL-WH-TX03,49,2022-Q1,40.0,16.0,1.0,100.0,30,1
DHL-WH-TX03,3,2022-Q1,48.0,22.0,0.0,100.0,39,1
DHL-WH-TX03,41,2022-Q1,52.0,25.0,0.0,100.0,40,1
DHL-WH-TX03,29,2022-Q1,47.0,20.0,0.0,100.0,34,1
DHL-WH-TX03,31,2022-Q1,61.0,31.0,0.0,100.0,45,1
DHL-WH-TX03,33,2022-Q1,65.0,27.0,0.0,100.0,44,1
DHL-WH-TX03,34,2022-Q1,45.0,14.0,0.0,100.0,33,1
DHL-WH-TX03,35,2022-Q1,43.0,23.0,1.0,100.0,34,1
DHL-WH-TX03,36,2022-Q1,52.0,19.0,0.0,100.0,43,1
DHL-WH-TX03,37,2022-Q1,48.0,17.0,0.0,100.0,40,1
DHL-WH-TX03,43,2022-Q1,39.0,17.0,0.0,100.0,35,1
DHL-WH-TX03,44,2022-Q1,47.0,24.0,0.0,100.0,35,1
DHL-WH-TX03,45,2022-Q1,58.0,29.0,0.0,100.0,41,1
DHL-WH-TX03,55,2022-Q1,56.0,26.0,0.0,100.0,41,1
DHL-WH-TX03,50,2022-Q1,50.0,17.0,0.0,100.0,37,1
DHL-WH-TX03,51,2022-Q1,50.0,15.0,1.0,100.0,37,1
DHL-WH-TX03,53,2022-Q1,68.0,31.0,1.0,100.0,45,1
DHL-WH-TX03,54,2022-Q1,48.0,17.0,0.0,100.0,35,1
DHL-WH-TX03,57,2022-Q1,47.0,18.0,0.0,100.0,35,1
DHL-WH-TX03,58,2022-Q1,66.0,34.0,0.0,100.0,44,1
DHL-WH-TX03,59,2022-Q1,57.0,25.0,0.0,100.0,39,1
DHL-WH-TX03,60,2022-Q1,50.0,26.0,0.0,100.0,36,1
DHL-WH-TX03,2,2022-Q1,63.0,27.0,0.0,100.0,46,1
DHL-WH-TX03,4,2022-Q1,56.0,25.0,1.0,100.0,39,1
DHL-WH-TX03,7,2022-Q1,56.0,23.0,0.0,100.0,37,1
DHL-WH-TX03,12,2022-Q1,58.0,27.0,0.0,100.0,40,1
DHL-WH-TX03,13,2022-Q1,49.0,19.0,1.0,100.0,39,1
DHL-WH-TX03,14,2022-Q1,37.0,15.0,0.0,100.0,28,1
DHL-WH-TX03,15,2022-Q1,65.0,31.0,1.0,100.0,41,1
DHL-WH-TX03,16,2022-Q1,46.0,26.0,1.0,100.0,28,1
DHL-WH-TX03,17,2022-Q1,53.0,27.0,0.0,100.0,44,1
DHL-WH-TX03,22,2022-Q1,51.0,19.0,0.0,100.0,36,1
DHL-WH-TX03,24,2022-Q1,49.0,19.0,0.0,100.0,37,1
DHL-WH-TX03,26,2022-Q1,53.0,24.0,0.0,100.0,37,1
DHL-WH-TX03,42,2022-Q1,40.0,17.0,0.0,100.0,32,1
DHL-WH-TX03,32,2022-Q1,57.0,21.0,0.0,100.0,42,1
DHL-WH-TX03,38,2022-Q1,48.0,23.0,1.0,100.0,36,1
DHL-WH-TX03,39,2022-Q1,48.0,19.0,0.0,100.0,37,1
DHL-WH-TX03,40,2022-Q1,62.0,30.0,1.0,100.0,46,1
DHL-WH-TX03,28,2022-Q1,71.0,31.0,0.0,100.0,45,1
DHL-WH-TX03,5,2022-Q1,57.0,28.0,1.0,96.429,34,54
DHL-WH-TX03,30,2022-Q1,66.0,26.0,1.0,96.154,49,55
DHL-WH-TX03,1,2022-Q1,53.0,23.0,1.0,95.652,37,56
DHL-WH-TX03,47,2022-Q1,44.0,18.0,1.0,94.444,33,57
DHL-WH-TX03,6,2022-Q1,50.0,18.0,1.0,94.444,35,57
DHL-WH-TX03,46,2022-Q1,44.0,15.0,1.0,93.333,35,59
DHL-WH-TX03,52,2022-Q1,57.0,20.0,2.0,90.0,45,60
